id_producto|id_empresa|sku|codigo_barras|nombre_producto|tipo|descripcion|id_marca|id_categoria|id_unidad|estatus|ubicacion_default|en_punto_venta|en_catalogo_linea|requiere_receta|usar_existencias|clave_sat|fecha_creacion|fecha_actualizacion
12|1|SKU012|750987123456|Amoxicilina 500mg|Físico|Caja con 15 cápsulas|2|3|3|Vigente|Pasillo 1|1|0|1|1|51141802|2024-01-07|2024-01-07
13|1|SKU013|750111333555|Loratadina 10mg|Físico|Caja con 20 tabletas para alergias|2|3|3|Vigente|Pasillo 1|1|0|0|1|51141804|2024-01-08|2024-01-08
14|1|SKU014|750222444666|Omeprazol 20mg|Físico|Caja con 14 cápsulas de liberación demorada|2|3|3|Vigente|Pasillo 1|1|0|0|1|51142002|2024-01-08|2024-01-08
15|1|SKU015|750333555777|Tenis Deportivos Running|Físico|Calzado deportivo para correr Talla 27|3|4|1|Vigente|Pasillo 2|1|1|0|1|53102001|2024-01-09|2024-01-09
16|1|SKU016|750444666888|Sudadera con Capucha|Físico|Sudadera lisa con bolsa frontal Talla G|3|4|1|Vigente|Pasillo 2|1|1|0|1|53101815|2024-01-09|2024-01-09
17|1|SKU017|750555777999|Plancha de Vapor|Físico|Plancha con suela de cerámica y autolimpieza|4|5|1|Vigente|Pasillo 4|1|1|0|1|52141602|2024-01-10|2024-01-10
18|1|SKU018|750666888000|Microondas 0.7 Pies|Físico|Horno de microondas digital color blanco|4|5|1|Vigente|Pasillo 4|1|1|0|1|52141510|2024-01-10|2024-01-10
19|1|SKU019|750777999111|Monitor 24 Pulgadas|Físico|Monitor LED Full HD 75Hz|1|2|1|Vigente|Pasillo 3|1|1|0|1|43211902|2024-01-11|2024-01-11
20|1|SKU020|750888111222|Impresora Multifuncional|Físico|Impresora de inyección de tinta color|1|2|1|Vigente|Pasillo 3|1|1|0|1|43212110|2024-01-11|2024-01-11
21|1|SKU021|750135792468|Aspirina 500mg|Físico|Caja con 40 tabletas analgésicas|2|3|3|Vigente|Pasillo 1|1|0|0|1|51142003|2024-01-12|2024-01-12
22|1|SKU022|750246813579|Vitamina C 1000mg|Físico|Frasco con 60 tabletas efervescentes|2|3|3|Vigente|Pasillo 1|1|0|0|1|51191900|2024-01-12|2024-01-12
23|1|SKU023|750369258147|Gorra Casual Ajustable|Físico|Gorra deportiva color negro unitalla|3|4|1|Vigente|Pasillo 2|1|1|0|1|53102501|2024-01-13|2024-01-13
24|1|SKU024|750147258369|Calcetines Deportivos|Físico|Paquete con 3 pares de calcetines blancos|3|4|1|Vigente|Pasillo 2|1|1|0|1|53102401|2024-01-13|2024-01-13
25|1|SKU025|750258369147|Batidora de Inmersión|Físico|Batidora de mano con vaso medidor|4|5|1|Vigente|Pasillo 4|1|1|0|1|52141505|2024-01-14|2024-01-14
26|1|SKU026|750369147258|Tostadora de Pan|Físico|Tostadora de 2 ranuras acero inoxidable|4|5|1|Vigente|Pasillo 4|1|1|0|1|52141508|2024-01-14|2024-01-14
27|1|SKU027|750741852963|Cable HDMI 2 metros|Físico|Cable de alta velocidad con conectores dorados|1|2|1|Vigente|Pasillo 3|1|1|0|1|39121408|2024-01-15|2024-01-15
28|1|SKU028|750852963741|Memoria USB 64GB|Físico|Unidad flash USB 3.0 alta velocidad|1|2|1|Vigente|Pasillo 3|1|1|0|1|43202004|2024-01-15|2024-01-15
29|1|SKU029|750963741852|Disco Duro Externo 1TB|Físico|Disco duro portátil USB 3.0|1|2|1|Vigente|Pasillo 3|1|1|0|1|43201803|2024-01-16|2024-01-16
30|1|SKU030|750159357753|Naproxeno 550mg|Físico|Caja con 12 tabletas analgésicas|2|3|3|Vigente|Pasillo 1|1|0|0|1|51142004|2024-01-16|2024-01-16
31|1|SKU031|750357159537|Gel Antibacterial 500ml|Físico|Frasco dosificador con alcohol al 70%|2|3|3|Vigente|Pasillo 1|1|0|0|1|51121701|2024-01-17|2024-01-17
32|1|SKU032|750753159357|Cinturón de Piel|Físico|Cinturón formal para caballero Talla 34|3|4|1|Vigente|Pasillo 2|1|1|0|1|53102301|2024-01-17|2024-01-17
33|1|SKU033|750951357753|Mochila para Laptop|Físico|Mochila reforzada con compartimento acolchado|3|4|1|Vigente|Pasillo 2|1|1|0|1|53121503|2024-01-18|2024-01-18
34|1|SKU034|750123789456|Sandwichera eléctrica|Físico|Prensa para sándwiches antiadherente|4|5|1|Vigente|Pasillo 4|1|1|0|1|52141512|2024-01-18|2024-01-18
35|1|SKU035|750456789123|Hervidor de Agua Eléctrico|Físico|Jarra eléctrica 1.7 litros apagado automático|4|5|1|Vigente|Pasillo 4|1|1|0|1|52141515|2024-01-19|2024-01-19
36|1|SKU036|750789123456|Hub USB 4 Puertos|Físico|Concentrador USB 2.0 de alta velocidad|1|2|1|Vigente|Pasillo 3|1|1|0|1|43211603|2024-01-19|2024-01-19
37|1|SKU037|750321654987|Tablet 10 Pulgadas|Físico|Tablet con 64GB de almacenamiento y WiFi|1|2|1|Vigente|Pasillo 3|1|1|0|1|43211509|2024-01-20|2024-01-20
38|1|SKU038|750654987321|Diclofenaco 100mg|Físico|Caja con 20 tabletas de liberación prolongada|2|3|3|Vigente|Pasillo 1|1|0|1|1|51142005|2024-01-20|2024-01-20
39|1|SKU039|750987321654|Termómetro Digital|Físico|Termómetro clínico infrarrojo sin contacto|2|3|3|Vigente|Pasillo 1|1|0|0|1|42182201|2024-01-21|2024-01-21
40|1|SKU040|750112233445|Playera Polo Casual|Físico|Playera tipo polo manga corta Talla CH|3|4|1|Vigente|Pasillo 2|1|1|0|1|53101803|2024-01-21|2024-01-21
41|1|SKU041|750223344556|Chamarra Impermeable|Físico|Chamarra térmica con capucha Talla G|3|4|1|Vigente|Pasillo 2|1|1|0|1|53101810|2024-01-22|2024-01-22
42|1|SKU042|750334455667|Sartenes Antiadherentes|Físico|Juego de 2 sartenes de aluminio con teflón|4|5|1|Vigente|Pasillo 4|1|1|0|1|52151802|2024-01-22|2024-01-22
43|1|SKU043|750445566778|Batería de Cocina|Físico|Set de 5 piezas de acero inoxidable|4|5|1|Vigente|Pasillo 4|1|1|0|1|52151801|2024-01-23|2024-01-23
44|1|SKU044|750556677889|Bocina Bluetooth Portátil|Físico|Bocina inalámbrica resistente al agua IPX7|1|2|1|Vigente|Pasillo 3|1|1|0|1|52161512|2024-01-23|2024-01-23
45|1|SKU045|750667788990|Tripie para Cámara|Físico|Soporte ajustable de aluminio para fotografía|1|2|1|Vigente|Pasillo 3|1|1|0|1|45121610|2024-01-24|2024-01-24
46|1|SKU046|750778899001|Metamizol Sódico 500mg|Físico|Caja con 10 ampolletas inyectables|2|3|3|Vigente|Pasillo 1|1|0|1|1|51142006|2024-01-24|2024-01-24
47|1|SKU047|750889900112|Alcohol Etílico 1 Litro|Físico|Frasco con alcohol desnaturalizado al 96%|2|3|3|Vigente|Pasillo 1|1|0|0|1|51121702|2024-01-25|2024-01-25
48|1|SKU048|750990011223|Short Deportivo|Físico|Short transpirable para ejercicio Talla M|3|4|1|Vigente|Pasillo 2|1|1|0|1|53101901|2024-01-25|2024-01-25
49|1|SKU049|750101122334|Leggings Deportivos|Físico|Mallas de compresión para dama Talla CH|3|4|1|Vigente|Pasillo 2|1|1|0|1|53101905|2024-01-26|2024-01-26
50|1|SKU050|750212233445|Exprimidor de Cítricos|Físico|Exprimidor eléctrico de jugos con cono reversible|4|5|1|Vigente|Pasillo 4|1|1|0|1|52141506|2024-01-26|2024-01-26
51|1|SKU051|750323344556|Wafflera Belga|Físico|Máquina para hacer waffles con placas antiadherentes|4|5|1|Vigente|Pasillo 4|1|1|0|1|52141518|2024-01-27|2024-01-27
52|1|SKU052|750434455667|Estabilizador de Corriente|Físico|Regulador de voltaje 8 contactos contra pastilla|1|2|1|Vigente|Pasillo 3|1|1|0|1|39121011|2024-01-27|2024-01-27
54|1|SKU054|750600000054|Cuaderno Profesional|Físico|Cuaderno cuadriculado de 100 hojas|5|6|1|Vigente|Pasillo 5|1|1|0|1|14111514|2026-07-01|2026-07-01
55|1|SKU055|750600000055|Juego de Desarmadores|Físico|Juego de seis desarmadores de precisión|6|7|1|Vigente|Pasillo 6|1|1|0|1|27111701|2026-07-02|2026-07-02
56|1|SKU056|750600000056|Limpiador Multiusos|Físico|Botella de limpiador biodegradable de 1 litro|7|8|5|Vigente|Pasillo 7|1|1|0|1|47131805|2026-07-03|2026-07-03
57|1|SKU057|750600000057|Tijeras para Jardín|Físico|Tijeras de poda con mango ergonómico|8|9|1|Vigente|Pasillo 8|1|1|0|1|27112007|2026-07-04|2026-07-04
58|1|SKU058|750600000058|Balón de Fútbol|Físico|Balón tamaño cinco para entrenamiento|9|10|1|Vigente|Pasillo 9|1|1|0|1|49161504|2026-07-05|2026-07-05
59|1|SKU059|750600000059|Bloques de Construcción|Físico|Set de 120 bloques de colores|10|11|6|Vigente|Pasillo 10|1|1|0|1|60141006|2026-07-06|2026-07-06
60|1|SKU060|750600000060|Alimento para Perro|Físico|Bolsa de alimento balanceado de 2 kilogramos|11|12|15|Vigente|Pasillo 11|1|1|0|1|10121800|2026-07-07|2026-07-07
61|1|SKU061|750600000061|Aceite para Motor|Físico|Aceite multigrado para motor de 1 litro|12|13|5|Vigente|Pasillo 12|1|1|0|1|15121501|2026-07-08|2026-07-08
62|1|SKU062|750600000062|Agua Mineral|Físico|Paquete con seis botellas de agua mineral|13|14|6|Vigente|Pasillo 13|1|1|0|1|50202310|2026-07-09|2026-07-09
63|1|SKU063|750600000063|Galletas Integrales|Físico|Paquete de galletas integrales de 250 gramos|14|15|6|Vigente|Pasillo 14|1|1|0|1|50181905|2026-07-10|2026-07-10
