id_movimiento|id_producto|id_almacen|id_tipo_movimiento|existencia|cantidad|costo_unitario|observaciones|referencia|fecha|id_usuario
35|25|1|3|19.00|-1.00|460.00|Baja por producto defectuoso|AJ-0025|2026-07-20|1
36|26|2|3|22.00|2.00|390.00|Recepción pendiente registrada|AJ-0026|2026-07-21|2
37|27|3|3|88.00|-3.00|58.00|Ajuste posterior a inventario físico|AJ-0027|2026-07-21|3
38|28|1|1|10.00|10.00|95.00|Inventario inicial|INV-028|2026-07-23|1
39|29|1|1|10.00|10.00|980.00|Inventario inicial|INV-029|2026-07-23|1
40|30|1|1|10.00|10.00|38.00|Inventario inicial|INV-030|2026-07-23|1
41|31|1|1|10.00|10.00|46.00|Inventario inicial|INV-031|2026-07-23|1
42|32|1|1|10.00|10.00|180.00|Inventario inicial|INV-032|2026-07-23|1
43|33|1|1|10.00|10.00|420.00|Inventario inicial|INV-033|2026-07-23|1
44|34|1|1|10.00|10.00|510.00|Inventario inicial|INV-034|2026-07-23|1
45|35|1|1|10.00|10.00|390.00|Inventario inicial|INV-035|2026-07-23|1
46|36|1|1|10.00|10.00|85.00|Inventario inicial|INV-036|2026-07-23|1
47|37|1|1|10.00|10.00|2850.00|Inventario inicial|INV-037|2026-07-23|1
48|38|1|1|10.00|10.00|72.00|Inventario inicial|INV-038|2026-07-23|1
49|39|1|1|10.00|10.00|340.00|Inventario inicial|INV-039|2026-07-23|1
50|40|1|1|10.00|10.00|190.00|Inventario inicial|INV-040|2026-07-23|1
51|41|1|1|10.00|10.00|620.00|Inventario inicial|INV-041|2026-07-23|1
52|42|1|1|10.00|10.00|480.00|Inventario inicial|INV-042|2026-07-23|1
53|43|1|1|10.00|10.00|1150.00|Inventario inicial|INV-043|2026-07-23|1
54|44|1|1|10.00|10.00|520.00|Inventario inicial|INV-044|2026-07-23|1
55|45|1|1|10.00|10.00|260.00|Inventario inicial|INV-045|2026-07-23|1
56|46|1|1|10.00|10.00|88.00|Inventario inicial|INV-046|2026-07-23|1
57|47|1|1|10.00|10.00|54.00|Inventario inicial|INV-047|2026-07-23|1
58|48|1|1|10.00|10.00|155.00|Inventario inicial|INV-048|2026-07-23|1
59|49|1|1|10.00|10.00|175.00|Inventario inicial|INV-049|2026-07-23|1
60|50|1|1|10.00|10.00|310.00|Inventario inicial|INV-050|2026-07-23|1
61|51|1|1|10.00|10.00|590.00|Inventario inicial|INV-051|2026-07-23|1
62|52|1|1|10.00|10.00|420.00|Inventario inicial|INV-052|2026-07-23|1
63|53|1|1|10.00|10.00|650.00|Inventario inicial|INV-053|2026-07-23|1
64|64|1|1|10.00|10.00|2735.00|Inventario inicial|INV-064|2026-07-23|1
65|65|1|1|10.00|10.00|5890.00|Inventario inicial|INV-065|2026-07-23|1
66|66|1|1|10.00|10.00|1400.00|Inventario inicial|INV-066|2026-07-23|1
67|67|1|1|10.00|10.00|940.00|Inventario inicial|INV-067|2026-07-23|1
68|68|1|1|10.00|10.00|75.00|Inventario inicial|INV-068|2026-07-23|1
69|69|1|1|10.00|10.00|13015.00|Inventario inicial|INV-069|2026-07-23|1
70|70|1|1|10.00|10.00|184.00|Inventario inicial|INV-070|2026-07-23|1
71|71|1|1|10.00|10.00|1525.00|Inventario inicial|INV-071|2026-07-23|1
72|72|1|1|10.00|10.00|1630.00|Inventario inicial|INV-072|2026-07-23|1
73|73|1|1|10.00|10.00|209.00|Inventario inicial|INV-073|2026-07-23|1
74|18|5|1|13.00|13.00|1450.00|Inventario inicial reconstruido|INV-018|2024-01-10|5
75|19|6|1|22.00|22.00|2100.00|Inventario inicial reconstruido|INV-019|2024-01-11|6
76|20|7|1|15.00|15.00|1850.00|Inventario inicial reconstruido|INV-020|2024-01-11|7
77|21|8|1|78.00|78.00|35.00|Inventario inicial reconstruido|INV-021|2024-01-12|8
78|22|9|1|41.00|41.00|92.00|Inventario inicial reconstruido|INV-022|2024-01-12|9
79|23|10|1|44.00|44.00|110.00|Inventario inicial reconstruido|INV-023|2024-01-13|10
80|24|11|1|60.00|60.00|75.00|Inventario inicial reconstruido|INV-024|2024-01-13|11
81|25|1|1|20.00|20.00|460.00|Inventario inicial reconstruido|INV-025|2024-01-14|1
82|26|2|1|20.00|20.00|390.00|Inventario inicial reconstruido|INV-026|2024-01-14|2
83|27|3|1|91.00|91.00|58.00|Inventario inicial reconstruido|INV-027|2024-01-15|3
84|1|1|4|45.00|-5.00|5000.00|Salida por transferencia a almacén 2|TR-0001|2024-07-21|1
85|1|2|4|5.00|5.00|5000.00|Entrada por transferencia desde almacén 1|TR-0001|2024-07-21|1
86|55|3|4|14.00|-4.00|185.00|Salida por transferencia a almacén 4|TR-0003|2026-07-03|1
87|55|4|4|4.00|4.00|185.00|Entrada por transferencia desde almacén 3|TR-0003|2026-07-03|1
88|59|7|4|25.00|-8.00|260.00|Salida por transferencia a almacén 8|TR-0007|2026-07-07|1
89|59|8|4|8.00|8.00|260.00|Entrada por transferencia desde almacén 7|TR-0007|2026-07-07|1
90|63|11|4|5.00|-9.00|31.00|Salida por transferencia a almacén 2|TR-0011|2026-07-11|1
91|63|2|4|9.00|9.00|31.00|Entrada por transferencia desde almacén 11|TR-0011|2026-07-11|1
